service_provider,technology,download/upload,speed,signal_strength,state,Month,Year
JIO,4G,upload,730,-102,Andhra Pradesh,March,2018
JIO,4G,upload,9790,-75,Andhra Pradesh,March,2018
JIO,4G,upload,30,-118,Andhra Pradesh,March,2018
JIO,4G,upload,20,-96,Andhra Pradesh,March,2018
JIO,4G,upload,1490,-106,Andhra Pradesh,March,2018
JIO,4G,upload,880,-107,Andhra Pradesh,March,2018
JIO,4G,upload,7010,-71,Andhra Pradesh,March,2018
JIO,4G,upload,590,-86,Andhra Pradesh,March,2018
JIO,4G,upload,130,-105,Andhra Pradesh,March,2018
JIO,4G,upload,5440,-56,Andhra Pradesh,March,2018
JIO,4G,upload,90,-108,Andhra Pradesh,March,2018
JIO,4G,upload,290,-92,Andhra Pradesh,March,2018
JIO,4G,upload,750,-102,Andhra Pradesh,March,2018
JIO,4G,upload,160,-96,Andhra Pradesh,March,2018
JIO,4G,upload,500,-108,Andhra Pradesh,March,2018
JIO,4G,upload,1220,-94,Andhra Pradesh,March,2018
JIO,4G,upload,1100,-105,Andhra Pradesh,March,2018
JIO,4G,upload,990,-89,Andhra Pradesh,March,2018
JIO,4G,upload,3570,-80,Andhra Pradesh,March,2018
JIO,4G,upload,300,-106,Andhra Pradesh,March,2018
JIO,4G,upload,1620,-102,Andhra Pradesh,March,2018
JIO,4G,upload,2170,-99,Andhra Pradesh,March,2018
JIO,4G,upload,10700,-77,Andhra Pradesh,March,2018
JIO,4G,upload,5600,-79,Andhra Pradesh,March,2018
JIO,4G,upload,30,-106,Andhra Pradesh,March,2018
JIO,4G,upload,6330,-86,Andhra Pradesh,March,2018
JIO,4G,upload,1340,-102,Andhra Pradesh,March,2018
JIO,4G,upload,6770,-97,Andhra Pradesh,March,2018
JIO,4G,upload,120,-98,Andhra Pradesh,March,2018
JIO,4G,upload,20,-108,Andhra Pradesh,March,2018
JIO,4G,upload,2640,-100,Andhra Pradesh,March,2018
JIO,4G,upload,8660,-72,Andhra Pradesh,March,2018
JIO,4G,upload,140,-109,Andhra Pradesh,March,2018
JIO,4G,upload,560,-88,Andhra Pradesh,March,2018
JIO,4G,upload,6590,-63,Andhra Pradesh,March,2018
JIO,4G,upload,2230,-98,Andhra Pradesh,March,2018
JIO,4G,upload,20,-115,Andhra Pradesh,March,2018
JIO,4G,upload,9360,-92,Andhra Pradesh,March,2018
JIO,4G,upload,20,-88.82043344,Andhra Pradesh,March,2018
JIO,4G,upload,780,-100,Andhra Pradesh,March,2018
JIO,4G,upload,4960,-97,Andhra Pradesh,March,2018
JIO,4G,upload,7350,-81,Andhra Pradesh,March,2018
JIO,4G,upload,1400,-92,Andhra Pradesh,March,2018
JIO,4G,upload,220,-103,Andhra Pradesh,March,2018
JIO,4G,upload,2560,-99,Andhra Pradesh,March,2018
JIO,4G,upload,2310,-83,Andhra Pradesh,March,2018
JIO,4G,upload,9680,-72,Andhra Pradesh,March,2018
JIO,4G,upload,2150,-107,Andhra Pradesh,March,2018
JIO,4G,upload,710,-108,Andhra Pradesh,March,2018
JIO,4G,upload,4900,-75,Andhra Pradesh,March,2018
JIO,4G,upload,690,-105,Andhra Pradesh,March,2018
JIO,4G,upload,6820,-79,Andhra Pradesh,March,2018
JIO,4G,upload,200,-108,Andhra Pradesh,March,2018
JIO,4G,upload,6500,-88.82043344,Andhra Pradesh,March,2018
JIO,4G,upload,9740,-76,Andhra Pradesh,March,2018
JIO,4G,upload,8600,-80,Andhra Pradesh,March,2018
JIO,4G,upload,5000,-91,Andhra Pradesh,March,2018
JIO,4G,upload,1400,-88.82043344,Andhra Pradesh,March,2018
JIO,4G,upload,9440,-69,Andhra Pradesh,March,2018
JIO,4G,upload,1360,-104,Andhra Pradesh,March,2018
JIO,4G,upload,670,-102,Andhra Pradesh,March,2018
JIO,4G,upload,3060,-85,Andhra Pradesh,March,2018
JIO,4G,upload,420,-85,Andhra Pradesh,March,2018
JIO,4G,upload,2510,-99,Andhra Pradesh,March,2018
JIO,4G,upload,5640,-63,Andhra Pradesh,March,2018
JIO,4G,upload,8200,-79,Andhra Pradesh,March,2018
JIO,4G,upload,10830,-74,Andhra Pradesh,March,2018
JIO,4G,upload,20,-101,Andhra Pradesh,March,2018
JIO,4G,upload,2500,-106,Andhra Pradesh,March,2018
JIO,4G,upload,1830,-97,Andhra Pradesh,March,2018
JIO,4G,upload,9940,-71,Andhra Pradesh,March,2018
JIO,4G,upload,500,-103,Andhra Pradesh,March,2018
JIO,4G,upload,9190,-83,Andhra Pradesh,March,2018
JIO,4G,upload,7740,-88.82043344,Andhra Pradesh,March,2018
JIO,4G,upload,11700,-81,Andhra Pradesh,March,2018
JIO,4G,upload,880,-100,Andhra Pradesh,March,2018
JIO,4G,upload,5710,-56,Andhra Pradesh,March,2018
JIO,4G,upload,3030,-83,Andhra Pradesh,March,2018
JIO,4G,upload,450,-106,Andhra Pradesh,March,2018
JIO,4G,upload,1550,-92,Andhra Pradesh,March,2018
JIO,4G,upload,8370,-75,Andhra Pradesh,March,2018
JIO,4G,upload,180,-105,Andhra Pradesh,March,2018
JIO,4G,upload,5240,-88.82043344,Andhra Pradesh,March,2018
JIO,4G,upload,20,-98,Andhra Pradesh,March,2018
JIO,4G,upload,460,-88.82043344,Andhra Pradesh,March,2018
JIO,4G,upload,3680,-106,Andhra Pradesh,March,2018
JIO,4G,upload,2390,-83,Andhra Pradesh,March,2018
JIO,4G,upload,870,-104,Andhra Pradesh,March,2018
JIO,4G,upload,3800,-86,Andhra Pradesh,March,2018
JIO,4G,upload,5820,-88,Andhra Pradesh,March,2018
JIO,4G,upload,3970,-88.82043344,Andhra Pradesh,March,2018
JIO,4G,upload,9830,-77,Andhra Pradesh,March,2018
JIO,4G,upload,1300,-88.82043344,Andhra Pradesh,March,2018
JIO,4G,upload,690,-97,Andhra Pradesh,March,2018
JIO,4G,upload,6720,-71,Andhra Pradesh,March,2018
JIO,4G,upload,530,-93,Andhra Pradesh,March,2018
JIO,4G,upload,5650,-61,Andhra Pradesh,March,2018
JIO,4G,upload,320,-91,Andhra Pradesh,March,2018
JIO,4G,upload,560,-104,Andhra Pradesh,March,2018
JIO,4G,upload,7800,-80,Andhra Pradesh,March,2018
JIO,4G,upload,3160,-77,Andhra Pradesh,March,2018
JIO,4G,upload,7680,-64,Andhra Pradesh,March,2018
JIO,4G,upload,1130,-88.82043344,Andhra Pradesh,March,2018
JIO,4G,upload,5620,-71,Andhra Pradesh,March,2018
JIO,4G,upload,790,-112,Andhra Pradesh,March,2018
JIO,4G,upload,3290,-77,Andhra Pradesh,March,2018
JIO,4G,upload,9310,-72,Andhra Pradesh,March,2018
JIO,4G,upload,2310,-69,Andhra Pradesh,March,2018
JIO,4G,upload,910,-102,Andhra Pradesh,March,2018
JIO,4G,upload,1140,-94,Andhra Pradesh,March,2018
JIO,4G,upload,7810,-73,Andhra Pradesh,March,2018
JIO,4G,upload,7600,-77,Andhra Pradesh,March,2018
JIO,4G,upload,5010,-97,Andhra Pradesh,March,2018
JIO,4G,upload,620,-88.82043344,Andhra Pradesh,March,2018
JIO,4G,upload,6530,-71,Andhra Pradesh,March,2018
JIO,4G,upload,1620,-91,Andhra Pradesh,March,2018
JIO,4G,upload,2820,-89,Andhra Pradesh,March,2018
JIO,4G,upload,3180,-77,Andhra Pradesh,March,2018
JIO,4G,upload,9930,-71,Andhra Pradesh,March,2018
JIO,4G,upload,2450,-102,Andhra Pradesh,March,2018
JIO,4G,upload,60,-104,Andhra Pradesh,March,2018
JIO,4G,upload,2760,-88.82043344,Andhra Pradesh,March,2018
JIO,4G,upload,60,-109,Andhra Pradesh,March,2018
JIO,4G,upload,5310,-73,Andhra Pradesh,March,2018
JIO,4G,upload,1920,-107,Andhra Pradesh,March,2018
JIO,4G,upload,6690,-69,Andhra Pradesh,March,2018
JIO,4G,upload,520,-81,Andhra Pradesh,March,2018
JIO,4G,upload,9750,-75,Andhra Pradesh,March,2018
JIO,4G,upload,12420,-81,Andhra Pradesh,March,2018
JIO,4G,upload,190,-85,Andhra Pradesh,March,2018
JIO,4G,upload,790,-91,Andhra Pradesh,March,2018
JIO,4G,upload,7260,-79,Andhra Pradesh,March,2018
JIO,4G,upload,4950,-80,Andhra Pradesh,March,2018
JIO,4G,upload,80,-97,Andhra Pradesh,March,2018
JIO,4G,upload,400,-109,Andhra Pradesh,March,2018
JIO,4G,upload,1270,-102,Andhra Pradesh,March,2018
JIO,4G,upload,9780,-72,Andhra Pradesh,March,2018
JIO,4G,upload,1820,-94,Andhra Pradesh,March,2018
JIO,4G,upload,310,-99,Andhra Pradesh,March,2018
JIO,4G,upload,3720,-97,Andhra Pradesh,March,2018
JIO,4G,upload,5290,-75,Andhra Pradesh,March,2018
JIO,4G,upload,6400,-88.82043344,Andhra Pradesh,March,2018
JIO,4G,upload,550,-108,Andhra Pradesh,March,2018
JIO,4G,upload,8920,-77,Andhra Pradesh,March,2018
