service_provider,technology,download/upload,speed,signal_strength,state,Month,Year
JIO,4G,download,8181,-77,Gujarat,July,2018
JIO,4G,download,121,-101,Gujarat,July,2018
JIO,4G,download,3579,-88,Gujarat,July,2018
JIO,4G,download,23052,-72,Gujarat,July,2018
JIO,4G,download,8654,-77.23034806,Gujarat,July,2018
JIO,4G,download,52553,-72,Gujarat,July,2018
JIO,4G,download,37572,-67,Gujarat,July,2018
JIO,4G,download,1567,-97,Gujarat,July,2018
JIO,4G,download,11464,-63,Gujarat,July,2018
JIO,4G,download,711,-106,Gujarat,July,2018
JIO,4G,download,438,-93,Gujarat,July,2018
JIO,4G,download,15808,-61,Gujarat,July,2018
JIO,4G,download,57434,-59,Gujarat,July,2018
JIO,4G,download,13514,-90,Gujarat,July,2018
JIO,4G,download,296,-106,Gujarat,July,2018
JIO,4G,download,45154,-57,Gujarat,July,2018
JIO,4G,download,25164,-71,Gujarat,July,2018
JIO,4G,download,62441,-65,Gujarat,July,2018
JIO,4G,download,2589,-93,Gujarat,July,2018
JIO,4G,download,291,-102,Gujarat,July,2018
JIO,4G,download,40463,-76,Gujarat,July,2018
JIO,4G,download,16186,-65,Gujarat,July,2018
JIO,4G,download,3529,-75,Gujarat,July,2018
JIO,4G,download,47418,-59,Gujarat,July,2018
JIO,4G,download,7043,-56,Gujarat,July,2018
JIO,4G,download,53295,-70,Gujarat,July,2018
JIO,4G,download,33509,-72,Gujarat,July,2018
JIO,4G,download,15538,-97,Gujarat,July,2018
JIO,4G,download,29361,-73,Gujarat,July,2018
JIO,4G,download,8722,-98,Gujarat,July,2018
JIO,4G,download,10927,-77,Gujarat,July,2018
JIO,4G,download,75071,-62,Gujarat,July,2018
JIO,4G,download,56468,-77,Gujarat,July,2018
JIO,4G,download,49966,-82,Gujarat,July,2018
JIO,4G,download,25819,-76,Gujarat,July,2018
JIO,4G,download,10405,-85,Gujarat,July,2018
JIO,4G,download,37415,-77,Gujarat,July,2018
JIO,4G,download,33942,-82,Gujarat,July,2018
JIO,4G,download,36601,-73,Gujarat,July,2018
JIO,4G,download,57401,-60,Gujarat,July,2018
JIO,4G,download,1621,-75,Gujarat,July,2018
JIO,4G,download,12509,-58,Gujarat,July,2018
JIO,4G,download,893,-99,Gujarat,July,2018
JIO,4G,download,36209,-72,Gujarat,July,2018
